insurance_name,drug_name,diagnosis_code,requires_step_therapy,required_prior_drug,requires_lab_results,max_days_supply_without_pa
CareFirst,Ozempic,E11.9,False,,True,60
CareFirst,Metformin,E11.9,False,,True,60
CareFirst,Humira,M06.9,False,,False,30
CareFirst,Methotrexate,M06.9,False,,False,90
CareFirst,Lipitor,E78.5,True,Atorvastatin-generic,True,60
CareFirst,Eliquis,I48.91,True,Warfarin,True,60
CareFirst,Warfarin,I48.91,False,,False,90
CareFirst,Abilify,F31.9,True,Risperidone,False,60
CareFirst,Risperidone,F31.9,False,,False,30
CareFirst,OxyContin,M79.3,False,,False,60
CareFirst,Ibuprofen,M79.3,False,,False,90
CareFirst,Advair,J45.909,True,Albuterol,False,60
BlueShield-X,Ozempic,E11.9,True,Metformin,False,30
BlueShield-X,Metformin,E11.9,False,,True,30
BlueShield-X,Humira,M06.9,True,Methotrexate,False,60
BlueShield-X,Methotrexate,M06.9,False,,False,60
BlueShield-X,Lipitor,E78.5,False,,False,30
BlueShield-X,Eliquis,I48.91,False,,True,60
BlueShield-X,Warfarin,I48.91,False,,False,60
BlueShield-X,Abilify,F31.9,False,,False,30
BlueShield-X,Risperidone,F31.9,False,,False,30
BlueShield-X,OxyContin,M79.3,False,,False,60
BlueShield-X,Ibuprofen,M79.3,False,,False,30
BlueShield-X,Advair,J45.909,False,,False,30
MediTrust,Ozempic,E11.9,True,Metformin,True,60
MediTrust,Metformin,E11.9,False,,True,60
MediTrust,Humira,M06.9,True,Methotrexate,False,60
MediTrust,Methotrexate,M06.9,False,,False,30
MediTrust,Lipitor,E78.5,False,,True,60
MediTrust,Eliquis,I48.91,True,Warfarin,True,60
MediTrust,Warfarin,I48.91,False,,False,30
MediTrust,Abilify,F31.9,True,Risperidone,False,30
MediTrust,Risperidone,F31.9,False,,False,60
MediTrust,OxyContin,M79.3,True,Ibuprofen,False,30
MediTrust,Ibuprofen,M79.3,False,,False,60
MediTrust,Advair,J45.909,False,,False,60
HealthPlus,Ozempic,E11.9,True,Metformin,True,90
HealthPlus,Metformin,E11.9,False,,True,60
HealthPlus,Humira,M06.9,True,Methotrexate,False,60
HealthPlus,Methotrexate,M06.9,False,,False,90
HealthPlus,Lipitor,E78.5,False,,True,60
HealthPlus,Eliquis,I48.91,False,,True,90
HealthPlus,Warfarin,I48.91,False,,True,30
HealthPlus,Abilify,F31.9,False,,False,60
HealthPlus,Risperidone,F31.9,False,,False,60
HealthPlus,OxyContin,M79.3,False,,False,90
HealthPlus,Ibuprofen,M79.3,False,,False,30
HealthPlus,Advair,J45.909,True,Albuterol,False,90
UnityCare,Ozempic,E11.9,True,Metformin,False,30
UnityCare,Metformin,E11.9,False,,False,30
UnityCare,Humira,M06.9,False,,False,60
UnityCare,Methotrexate,M06.9,False,,False,60
UnityCare,Lipitor,E78.5,True,Atorvastatin-generic,True,90
UnityCare,Eliquis,I48.91,True,Warfarin,False,60
UnityCare,Warfarin,I48.91,False,,False,60
UnityCare,Abilify,F31.9,True,Risperidone,False,30
UnityCare,Risperidone,F31.9,False,,False,60
UnityCare,OxyContin,M79.3,False,,False,60
UnityCare,Ibuprofen,M79.3,False,,False,60
UnityCare,Advair,J45.909,True,Albuterol,False,60
